tokenize,SCREEN#Positive,SCREEN#Neutral,SCREEN#Negative,CAMERA#Positive,CAMERA#Neutral,CAMERA#Negative,FEATURES#Positive,FEATURES#Neutral,FEATURES#Negative,BATTERY#Positive,BATTERY#Neutral,BATTERY#Negative,PERFORMANCE#Positive,PERFORMANCE#Neutral,PERFORMANCE#Negative,STORAGE#Positive,STORAGE#Neutral,STORAGE#Negative,DESIGN#Positive,DESIGN#Neutral,DESIGN#Negative,PRICE#Positive,PRICE#Neutral,PRICE#Negative,GENERAL#Positive,GENERAL#Neutral,GENERAL#Negative,SER&ACC#Positive,SER&ACC#Neutral,SER&ACC#Negative
mới mua máy này tại thegioididong thốt_nốt cảm_thấy ok bin trâu chụp ảnh đẹp loa nghe to bắt wf khoẻ sóng ổn_định giá_thành vừa với túi_tiền nhân_viên tư_vấn nhiệt_tình,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
pin kém còn lại miễn chê mua 8 3 2019 tình_trạng pin còn 88 có ai giống tôi không,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
sao lúc gọi điện_thoại màn_hình bị chấm nhỏ nháy gần camera trước vậy lúc có lúc không,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mọi người cập_nhật phần_mềm lại nó sẽ bớt tốn pin mình đã thử rồi mọi thứ cũng ok nhưng vân tay ko nhạy,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
mới mua sài được 1 tháng thấy pin rất trâu sài bao mượt nhưng có 1 lỗi nhỏ là mình nghe nhạc bằng tai nghe nghe hơi lâu ko biết sao nó ko nghe được nữa mất rút tai nghe ra cắm vào lại thì nó mới nghe được,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
xài tốt rất mượt pin trâu nếu các bạn để độ sáng vừa đủ nhân_viên nhiệt_tình vui_vẻ nói_chung là tầm giá này thì máy này là quá tốt rồi,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
mình mới xài được 7 tháng xuống 7 pin chả hiểu máy mới kiểu gì nữa dùng cơ_bản lướt web cơ_bản game ko chơi,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hôm_qua ngày 23 6 2020 e ra thế_giới di_động mua chiếc dthoai galaxy a51 lúc đầu bên cửa_hàng báo_giá 7 790 00đ được tặng phiếu mua hàng 250k lúc thanh_toán thì nhân_viên lại thanh_toán 7 990 000đ không có phiếu mua hàng đi 20km xuống mua thoai tối về đến nhà nhân_viên mới gọi đến có xin_lỗi vì sai xót và bảo mình xuống đó nhận phiếu mua hàng 250k chán quá đúng là làm mất thời_gian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tại_sao điện_thoại mới mà sạc nó nóng máy lên quá_trời t đã tắt tất_cả mạng ứng dung game và cấm ko cho chạy nền cũng ko vừa sạc vừa dùng mà điện_thoại nóng quá_trời sạc 3 tiếng mới đầy,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lúc đầu định mua samsung vào shop nhân_viên tư_vấn oppo a9 thất_vọng thực_sự khi dùng oppo màn_hình hiển_thị tối_om máy chơi game giật lang khó_chịu vl sạc thì lâu k bao_giờ dungg oppo nữa,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
